=> Effective BatchSize = 100

===========Check Grad============
img_special_token True
mlm_projection True
lang_model.logit_scale True
lang_model.text.transformer.embeddings.word_embeddings.weight True
lang_model.text.transformer.embeddings.position_embeddings.weight True
lang_model.text.transformer.embeddings.token_type_embeddings.weight True
lang_model.text.transformer.embeddings.LayerNorm.weight True
lang_model.text.transformer.embeddings.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.0.attention.self.query.weight True
lang_model.text.transformer.encoder.layer.0.attention.self.query.bias True
lang_model.text.transformer.encoder.layer.0.attention.self.key.weight True
lang_model.text.transformer.encoder.layer.0.attention.self.key.bias True
lang_model.text.transformer.encoder.layer.0.attention.self.value.weight True
lang_model.text.transformer.encoder.layer.0.attention.self.value.bias True
lang_model.text.transformer.encoder.layer.0.attention.output.dense.weight True
lang_model.text.transformer.encoder.layer.0.attention.output.dense.bias True
lang_model.text.transformer.encoder.layer.0.attention.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.0.attention.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.0.intermediate.dense.weight True
lang_model.text.transformer.encoder.layer.0.intermediate.dense.bias True
lang_model.text.transformer.encoder.layer.0.output.dense.weight True
lang_model.text.transformer.encoder.layer.0.output.dense.bias True
lang_model.text.transformer.encoder.layer.0.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.0.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.1.attention.self.query.weight True
lang_model.text.transformer.encoder.layer.1.attention.self.query.bias True
lang_model.text.transformer.encoder.layer.1.attention.self.key.weight True
lang_model.text.transformer.encoder.layer.1.attention.self.key.bias True
lang_model.text.transformer.encoder.layer.1.attention.self.value.weight True
lang_model.text.transformer.encoder.layer.1.attention.self.value.bias True
lang_model.text.transformer.encoder.layer.1.attention.output.dense.weight True
lang_model.text.transformer.encoder.layer.1.attention.output.dense.bias True
lang_model.text.transformer.encoder.layer.1.attention.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.1.attention.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.1.intermediate.dense.weight True
lang_model.text.transformer.encoder.layer.1.intermediate.dense.bias True
lang_model.text.transformer.encoder.layer.1.output.dense.weight True
lang_model.text.transformer.encoder.layer.1.output.dense.bias True
lang_model.text.transformer.encoder.layer.1.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.1.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.2.attention.self.query.weight True
lang_model.text.transformer.encoder.layer.2.attention.self.query.bias True
lang_model.text.transformer.encoder.layer.2.attention.self.key.weight True
lang_model.text.transformer.encoder.layer.2.attention.self.key.bias True
lang_model.text.transformer.encoder.layer.2.attention.self.value.weight True
lang_model.text.transformer.encoder.layer.2.attention.self.value.bias True
lang_model.text.transformer.encoder.layer.2.attention.output.dense.weight True
lang_model.text.transformer.encoder.layer.2.attention.output.dense.bias True
lang_model.text.transformer.encoder.layer.2.attention.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.2.attention.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.2.intermediate.dense.weight True
lang_model.text.transformer.encoder.layer.2.intermediate.dense.bias True
lang_model.text.transformer.encoder.layer.2.output.dense.weight True
lang_model.text.transformer.encoder.layer.2.output.dense.bias True
lang_model.text.transformer.encoder.layer.2.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.2.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.3.attention.self.query.weight True
lang_model.text.transformer.encoder.layer.3.attention.self.query.bias True
lang_model.text.transformer.encoder.layer.3.attention.self.key.weight True
lang_model.text.transformer.encoder.layer.3.attention.self.key.bias True
lang_model.text.transformer.encoder.layer.3.attention.self.value.weight True
lang_model.text.transformer.encoder.layer.3.attention.self.value.bias True
lang_model.text.transformer.encoder.layer.3.attention.output.dense.weight True
lang_model.text.transformer.encoder.layer.3.attention.output.dense.bias True
lang_model.text.transformer.encoder.layer.3.attention.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.3.attention.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.3.intermediate.dense.weight True
lang_model.text.transformer.encoder.layer.3.intermediate.dense.bias True
lang_model.text.transformer.encoder.layer.3.output.dense.weight True
lang_model.text.transformer.encoder.layer.3.output.dense.bias True
lang_model.text.transformer.encoder.layer.3.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.3.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.4.attention.self.query.weight True
lang_model.text.transformer.encoder.layer.4.attention.self.query.bias True
lang_model.text.transformer.encoder.layer.4.attention.self.key.weight True
lang_model.text.transformer.encoder.layer.4.attention.self.key.bias True
lang_model.text.transformer.encoder.layer.4.attention.self.value.weight True
lang_model.text.transformer.encoder.layer.4.attention.self.value.bias True
lang_model.text.transformer.encoder.layer.4.attention.output.dense.weight True
lang_model.text.transformer.encoder.layer.4.attention.output.dense.bias True
lang_model.text.transformer.encoder.layer.4.attention.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.4.attention.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.4.intermediate.dense.weight True
lang_model.text.transformer.encoder.layer.4.intermediate.dense.bias True
lang_model.text.transformer.encoder.layer.4.output.dense.weight True
lang_model.text.transformer.encoder.layer.4.output.dense.bias True
lang_model.text.transformer.encoder.layer.4.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.4.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.5.attention.self.query.weight True
lang_model.text.transformer.encoder.layer.5.attention.self.query.bias True
lang_model.text.transformer.encoder.layer.5.attention.self.key.weight True
lang_model.text.transformer.encoder.layer.5.attention.self.key.bias True
lang_model.text.transformer.encoder.layer.5.attention.self.value.weight True
lang_model.text.transformer.encoder.layer.5.attention.self.value.bias True
lang_model.text.transformer.encoder.layer.5.attention.output.dense.weight True
lang_model.text.transformer.encoder.layer.5.attention.output.dense.bias True
lang_model.text.transformer.encoder.layer.5.attention.output.LayerNorm.weight True
lang_model.text.transformer.encoder.layer.5.attention.output.LayerNorm.bias True
lang_model.text.transformer.encoder.layer.5.intermediate.dense.weight True
lang_model.text.transformer.encoder.layer.5.intermediate.dense.bias True
